date,location_identifier,transactions
2015-01-06,location_45,4418
2015-01-06,location_46,5401
2015-01-06,location_47,4935
2015-01-06,location_48,4591
2015-01-06,location_49,2795
2015-01-06,location_50,3297
2015-01-06,location_51,1934
2015-01-06,location_54,1180
2015-01-07,location_1,1807
2015-01-07,location_2,1911
2015-01-07,location_3,2996
2015-01-07,location_4,1514
2015-01-07,location_5,1577
2015-01-07,location_6,1713
2015-01-07,location_7,1705
2015-01-07,location_8,2768
2015-01-07,location_9,2162
2015-01-07,location_10,1148
2015-01-07,location_11,2361
2015-01-07,location_12,1113
2015-01-07,location_13,921
2015-01-07,location_14,1671
2015-01-07,location_15,1413
2015-01-07,location_16,1066
2015-01-07,location_17,1292
2015-01-07,location_18,1369
2015-01-07,location_19,1137
2015-01-07,location_23,1185
2015-01-07,location_24,2320
2015-01-07,location_25,703
2015-01-07,location_26,792
2015-01-07,location_27,1093
2015-01-07,location_28,775
2015-01-07,location_30,663
2015-01-07,location_31,1170
2015-01-07,location_32,699
2015-01-07,location_33,1078
2015-01-07,location_34,2224
2015-01-07,location_35,568
2015-01-07,location_37,1450
2015-01-07,location_38,1549
2015-01-07,location_39,1356
2015-01-07,location_40,1148
2015-01-07,location_41,744
2015-01-07,location_43,1137
2015-01-07,location_44,3871
2015-01-07,location_45,3339
2015-01-07,location_46,3205
2015-01-07,location_47,3570
2015-01-07,location_48,2697
2015-01-07,location_49,1719
2015-01-07,location_50,2371
2015-01-07,location_51,1637
2015-01-07,location_54,890
2015-01-08,location_1,1869
2015-01-08,location_2,1856
2015-01-08,location_3,2826
2015-01-08,location_4,1397
2015-01-08,location_5,1504
2015-01-08,location_6,1555
2015-01-08,location_7,1524
2015-01-08,location_8,2639
2015-01-08,location_9,2206
2015-01-08,location_10,1100
2015-01-08,location_11,2388
2015-01-08,location_12,1130
2015-01-08,location_13,879
2015-01-08,location_14,1673
2015-01-08,location_15,1330
2015-01-08,location_16,1009
2015-01-08,location_17,1197
2015-01-08,location_18,1388
2015-01-08,location_19,1013
2015-01-08,location_23,1143
2015-01-08,location_24,2349
2015-01-08,location_25,626
2015-01-08,location_26,729
2015-01-08,location_27,999
2015-01-08,location_28,877
2015-01-08,location_30,701
2015-01-08,location_31,1200
2015-01-08,location_32,641
2015-01-08,location_33,1164
2015-01-08,location_34,2272
2015-01-08,location_35,555
2015-01-08,location_37,1366
2015-01-08,location_38,1331
2015-01-08,location_39,1417
2015-01-08,location_40,1090
2015-01-08,location_41,764
2015-01-08,location_43,1155
2015-01-08,location_44,3593
2015-01-08,location_45,3102
2015-01-08,location_46,3061
2015-01-08,location_47,3185
2015-01-08,location_48,2320
2015-01-08,location_49,1609
2015-01-08,location_50,2251
2015-01-08,location_51,1613
2015-01-08,location_54,729
2015-01-09,location_1,1910
2015-01-09,location_2,1975
2015-01-09,location_3,2932
2015-01-09,location_4,1533
2015-01-09,location_5,1513
2015-01-09,location_6,1702
2015-01-09,location_7,1525
2015-01-09,location_8,2802
2015-01-09,location_9,1976
2015-01-09,location_10,930
2015-01-09,location_11,2230
2015-01-09,location_12,1108
2015-01-09,location_13,831
2015-01-09,location_14,1591
2015-01-09,location_15,1276
2015-01-09,location_16,923
2015-01-09,location_17,1110
2015-01-09,location_18,1206
2015-01-09,location_19,960
2015-01-09,location_23,1127
2015-01-09,location_24,2354
2015-01-09,location_25,755
2015-01-09,location_26,738
2015-01-09,location_27,1033
2015-01-09,location_28,645
2015-01-09,location_30,627
2015-01-09,location_31,1007
2015-01-09,location_32,591
2015-01-09,location_33,976
2015-01-09,location_34,2101
2015-01-09,location_35,539
2015-01-09,location_37,1544
2015-01-09,location_38,1525
2015-01-09,location_39,1219
2015-01-09,location_40,939
2015-01-09,location_41,749
2015-01-09,location_43,1000
2015-01-09,location_44,4006
2015-01-09,location_45,3268
2015-01-09,location_46,2989
2015-01-09,location_47,3370
2015-01-09,location_48,2316
2015-01-09,location_49,1776
2015-01-09,location_50,2228
2015-01-09,location_51,1786
2015-01-09,location_54,730
2015-01-10,location_1,1679
2015-01-10,location_2,1761
2015-01-10,location_3,2649
2015-01-10,location_4,1326
2015-01-10,location_5,1449
2015-01-10,location_6,1422
2015-01-10,location_7,1487
2015-01-10,location_8,2545
2015-01-10,location_9,1942
2015-01-10,location_10,925
2015-01-10,location_11,2274
2015-01-10,location_12,1121
2015-01-10,location_13,877
2015-01-10,location_14,1423
2015-01-10,location_15,1317
2015-01-10,location_16,889
2015-01-10,location_17,1141
2015-01-10,location_18,1219
2015-01-10,location_19,960
2015-01-10,location_23,1024
2015-01-10,location_24,2226
2015-01-10,location_25,632
2015-01-10,location_26,710
2015-01-10,location_27,900
2015-01-10,location_28,700
2015-01-10,location_30,693
2015-01-10,location_31,1001
2015-01-10,location_32,603
2015-01-10,location_33,868
2015-01-10,location_34,2079
2015-01-10,location_35,553
2015-01-10,location_37,1323
2015-01-10,location_38,1323
2015-01-10,location_39,1209
2015-01-10,location_40,944
2015-01-10,location_41,649
2015-01-10,location_43,967
2015-01-10,location_44,3323
2015-01-10,location_45,2697
2015-01-10,location_46,2627
2015-01-10,location_47,2982
2015-01-10,location_48,2212
2015-01-10,location_49,1481
2015-01-10,location_50,2052
2015-01-10,location_51,1515
2015-01-10,location_54,684
2015-01-11,location_1,1813
2015-01-11,location_2,1786
2015-01-11,location_3,2954
2015-01-11,location_4,1398
2015-01-11,location_5,1446
2015-01-11,location_6,1563
2015-01-11,location_7,1497
2015-01-11,location_8,2858
2015-01-11,location_9,1750
2015-01-11,location_10,877
2015-01-11,location_11,2053
2015-01-11,location_12,1072
2015-01-11,location_13,825
2015-01-11,location_14,1412
2015-01-11,location_15,1168
2015-01-11,location_16,912
2015-01-11,location_17,986
2015-01-11,location_18,1221
2015-01-11,location_19,999
2015-01-11,location_23,1046
2015-01-11,location_24,2350
2015-01-11,location_25,979
2015-01-11,location_26,725
2015-01-11,location_27,856
2015-01-11,location_28,618
2015-01-11,location_30,623
2015-01-11,location_31,1011
2015-01-11,location_32,641
2015-01-11,location_33,893
2015-01-11,location_34,2407
2015-01-11,location_35,538
2015-01-11,location_37,1447
2015-01-11,location_38,1557
2015-01-11,location_39,1163
2015-01-11,location_40,970
2015-01-11,location_41,686
2015-01-11,location_43,1264
2015-01-11,location_44,3873
2015-01-11,location_45,3083
2015-01-11,location_46,2892
2015-01-11,location_47,3312
2015-01-11,location_48,2396
2015-01-11,location_49,1768
2015-01-11,location_50,2226
2015-01-11,location_51,1658
2015-01-11,location_54,766
2015-01-12,location_1,1473
2015-01-12,location_2,1998
2015-01-12,location_3,3407
2015-01-12,location_4,1543
2015-01-12,location_5,1553
2015-01-12,location_6,2020
2015-01-12,location_7,1416
2015-01-12,location_8,2936
2015-01-12,location_9,2271
2015-01-12,location_10,1120
2015-01-12,location_11,2603
2015-01-12,location_12,1241
2015-01-12,location_13,1179
2015-01-12,location_14,1939
2015-01-12,location_15,1396
2015-01-12,location_16,1045
2015-01-12,location_17,1385
2015-01-12,location_18,1217
2015-01-12,location_19,1521
2015-01-12,location_23,1208
2015-01-12,location_24,2346
2015-01-12,location_25,1368
2015-01-12,location_26,907
2015-01-12,location_27,1330
2015-01-12,location_28,890
2015-01-12,location_30,702
2015-01-12,location_31,1262
2015-01-12,location_32,822
2015-01-12,location_33,1108
2015-01-12,location_34,2591
2015-01-12,location_35,750
2015-01-12,location_37,1622
2015-01-12,location_38,2142
2015-01-12,location_39,1518
2015-01-12,location_40,1039
2015-01-12,location_41,861
2015-01-12,location_43,1142
2015-01-12,location_44,4423
2015-01-12,location_45,3927
2015-01-12,location_46,4263
2015-01-12,location_47,4278
2015-01-12,location_48,3355
2015-01-12,location_49,2309
2015-01-12,location_50,3258
2015-01-12,location_51,1873
2015-01-12,location_54,954
2015-01-13,location_1,542
2015-01-13,location_2,1988
2015-01-13,location_3,3217
2015-01-13,location_4,1873
2015-01-13,location_5,1510
2015-01-13,location_6,2219
2015-01-13,location_7,1328
2015-01-13,location_8,2765
2015-01-13,location_9,2457
2015-01-13,location_10,1013
2015-01-13,location_11,2875
2015-01-13,location_12,1166
2015-01-13,location_13,858
2015-01-13,location_14,1317
2015-01-13,location_15,1122
2015-01-13,location_16,1260
2015-01-13,location_17,1441
2015-01-13,location_18,1376
2015-01-13,location_19,1269
2015-01-13,location_23,1187
2015-01-13,location_24,2001
2015-01-13,location_25,748
2015-01-13,location_26,963
2015-01-13,location_27,1575
2015-01-13,location_28,1197
2015-01-13,location_30,686
2015-01-13,location_31,1467
2015-01-13,location_32,753
2015-01-13,location_33,1207
2015-01-13,location_34,2381
2015-01-13,location_35,657
2015-01-13,location_37,1210
2015-01-13,location_38,2256
2015-01-13,location_39,1630
2015-01-13,location_40,1048
2015-01-13,location_41,1120
2015-01-13,location_43,1145
2015-01-13,location_44,4676
2015-01-13,location_45,4345
2015-01-13,location_46,4713
2015-01-13,location_47,4796
2015-01-13,location_48,3993
2015-01-13,location_49,2662
2015-01-13,location_50,3261
2015-01-13,location_51,1808
2015-01-13,location_54,1225
2015-01-14,location_1,1780
2015-01-14,location_2,1713
2015-01-14,location_3,2785
2015-01-14,location_4,1321
2015-01-14,location_5,1457
2015-01-14,location_6,1545
2015-01-14,location_7,1629
2015-01-14,location_8,2622
2015-01-14,location_9,2009
2015-01-14,location_10,1000
2015-01-14,location_11,2056
2015-01-14,location_12,1147
2015-01-14,location_13,869
2015-01-14,location_14,1700
2015-01-14,location_15,1368
2015-01-14,location_16,977
2015-01-14,location_17,1209
2015-01-14,location_18,1314
2015-01-14,location_19,1115
2015-01-14,location_23,1138
2015-01-14,location_24,2341
2015-01-14,location_25,664
2015-01-14,location_26,758
2015-01-14,location_27,1005
2015-01-14,location_28,754
2015-01-14,location_30,690
2015-01-14,location_31,1181
2015-01-14,location_32,644
2015-01-14,location_33,1008
2015-01-14,location_34,2246
2015-01-14,location_35,579
2015-01-14,location_37,1305
2015-01-14,location_38,1502
2015-01-14,location_39,1248
2015-01-14,location_40,1109
2015-01-14,location_41,739
2015-01-14,location_43,1091
2015-01-14,location_44,3450
2015-01-14,location_45,2937
2015-01-14,location_46,2780
2015-01-14,location_47,3145
2015-01-14,location_48,2223
2015-01-14,location_49,1525
2015-01-14,location_50,2150
2015-01-14,location_51,1491
2015-01-14,location_54,759
2015-01-15,location_1,1680
2015-01-15,location_2,1806
2015-01-15,location_3,2757
2015-01-15,location_4,1385
2015-01-15,location_5,1450
2015-01-15,location_6,1619
2015-01-15,location_7,1603
2015-01-15,location_8,2558
2015-01-15,location_9,2163
2015-01-15,location_10,1070
2015-01-15,location_11,2152
2015-01-15,location_12,1180
2015-01-15,location_13,871
2015-01-15,location_14,1554
2015-01-15,location_15,1319
2015-01-15,location_16,1001
2015-01-15,location_17,1216
2015-01-15,location_18,1350
2015-01-15,location_19,1042
2015-01-15,location_23,1075
2015-01-15,location_24,2338
2015-01-15,location_25,644
2015-01-15,location_26,787
2015-01-15,location_27,953
2015-01-15,location_28,846
2015-01-15,location_30,754
2015-01-15,location_31,1184
2015-01-15,location_32,683
2015-01-15,location_33,1062
2015-01-15,location_34,2285
2015-01-15,location_35,619
2015-01-15,location_37,1406
2015-01-15,location_38,1395
2015-01-15,location_39,1318
2015-01-15,location_40,1153
2015-01-15,location_41,693
2015-01-15,location_43,1123
2015-01-15,location_44,3527
2015-01-15,location_45,3016
2015-01-15,location_46,2973
2015-01-15,location_47,3305
2015-01-15,location_48,2275
2015-01-15,location_49,1571
2015-01-15,location_50,2001
2015-01-15,location_51,1604
2015-01-15,location_54,768
2015-01-16,location_1,1933
2015-01-16,location_2,1988
2015-01-16,location_3,3108
2015-01-16,location_4,1557
2015-01-16,location_5,1461
2015-01-16,location_6,1677
2015-01-16,location_7,1619
2015-01-16,location_8,2820
2015-01-16,location_9,1981
2015-01-16,location_10,973
2015-01-16,location_11,2060
2015-01-16,location_12,1068
2015-01-16,location_13,767
2015-01-16,location_14,1406
2015-01-16,location_15,1222
2015-01-16,location_16,782
2015-01-16,location_17,1127
2015-01-16,location_18,1313
2015-01-16,location_19,986
2015-01-16,location_23,1124
2015-01-16,location_24,2555
2015-01-16,location_25,775
2015-01-16,location_26,786
2015-01-16,location_27,1070
2015-01-16,location_28,678
2015-01-16,location_30,678
2015-01-16,location_31,1096
2015-01-16,location_32,648
2015-01-16,location_33,1010
2015-01-16,location_34,2218
2015-01-16,location_35,597
2015-01-16,location_37,1495
2015-01-16,location_38,1483
2015-01-16,location_39,1047
2015-01-16,location_40,978
2015-01-16,location_41,736
2015-01-16,location_43,1037
2015-01-16,location_44,4026
2015-01-16,location_45,3183
2015-01-16,location_46,3034
2015-01-16,location_47,3406
2015-01-16,location_48,2343
2015-01-16,location_49,1780
2015-01-16,location_50,2302
2015-01-16,location_51,1852
2015-01-16,location_54,686
2015-01-17,location_1,1786
2015-01-17,location_2,1672
2015-01-17,location_3,2653
2015-01-17,location_4,1296
2015-01-17,location_5,1458
2015-01-17,location_6,1547
2015-01-17,location_7,1565
2015-01-17,location_8,2591
2015-01-17,location_9,1932
2015-01-17,location_10,960
2015-01-17,location_11,2167
2015-01-17,location_12,1186
2015-01-17,location_13,794
2015-01-17,location_14,1420
2015-01-17,location_15,1274
2015-01-17,location_16,973
2015-01-17,location_17,1128
2015-01-17,location_18,1249
2015-01-17,location_19,977
2015-01-17,location_23,1089
2015-01-17,location_24,2557
2015-01-17,location_25,640
2015-01-17,location_26,818
2015-01-17,location_27,1037
2015-01-17,location_28,820
2015-01-17,location_30,790
2015-01-17,location_31,1161
2015-01-17,location_32,726
2015-01-17,location_33,961
2015-01-17,location_34,2315
2015-01-17,location_35,555
2015-01-17,location_37,1258
2015-01-17,location_38,1342
2015-01-17,location_39,1194
2015-01-17,location_40,942
2015-01-17,location_41,728
2015-01-17,location_43,1011
2015-01-17,location_44,3412
2015-01-17,location_45,2773
2015-01-17,location_46,2807
2015-01-17,location_47,3217
2015-01-17,location_48,2234
2015-01-17,location_49,1568
2015-01-17,location_50,2012
2015-01-17,location_51,1551
2015-01-17,location_54,727
2015-01-18,location_1,1745
2015-01-18,location_2,1901
2015-01-18,location_3,2936
2015-01-18,location_4,1493
2015-01-18,location_5,1378
2015-01-18,location_6,1548
2015-01-18,location_7,1749
2015-01-18,location_8,2766
2015-01-18,location_9,1639
2015-01-18,location_10,852
2015-01-18,location_11,2133
2015-01-18,location_12,1039
2015-01-18,location_13,803
2015-01-18,location_14,1305
2015-01-18,location_15,1157
2015-01-18,location_16,906
2015-01-18,location_17,1035
2015-01-18,location_18,1209
2015-01-18,location_19,923
2015-01-18,location_23,1071
2015-01-18,location_24,2559
2015-01-18,location_25,971
2015-01-18,location_26,822
2015-01-18,location_27,1034
2015-01-18,location_28,709
2015-01-18,location_30,696
2015-01-18,location_31,1044
2015-01-18,location_32,619
2015-01-18,location_33,860
2015-01-18,location_34,2510
2015-01-18,location_35,519
2015-01-18,location_37,1458
2015-01-18,location_38,1591
2015-01-18,location_39,1162
2015-01-18,location_40,944
2015-01-18,location_41,727
2015-01-18,location_43,1323
2015-01-18,location_44,3801
2015-01-18,location_45,3263
2015-01-18,location_46,2907
2015-01-18,location_47,3302
2015-01-18,location_48,2341
2015-01-18,location_49,1804
2015-01-18,location_50,2242
2015-01-18,location_51,1796
2015-01-18,location_54,779
2015-01-19,location_1,1389
2015-01-19,location_2,2043
2015-01-19,location_3,3453
2015-01-19,location_4,1705
2015-01-19,location_5,1517
2015-01-19,location_6,2132
2015-01-19,location_7,1581
2015-01-19,location_8,2944
2015-01-19,location_9,2336
2015-01-19,location_10,1372
2015-01-19,location_11,2569
2015-01-19,location_12,1319
2015-01-19,location_13,1140
2015-01-19,location_14,2031
2015-01-19,location_15,1390
2015-01-19,location_16,1022
2015-01-19,location_17,1440
2015-01-19,location_18,1362
2015-01-19,location_19,1735
2015-01-19,location_23,1231
2015-01-19,location_24,2487
2015-01-19,location_25,1494
2015-01-19,location_26,961
2015-01-19,location_27,1382
2015-01-19,location_28,996
2015-01-19,location_30,715
2015-01-19,location_31,1386
2015-01-19,location_32,770
2015-01-19,location_33,1201
2015-01-19,location_34,2695
2015-01-19,location_35,816
2015-01-19,location_37,1630
2015-01-19,location_38,2154
2015-01-19,location_39,1633
2015-01-19,location_40,1034
2015-01-19,location_41,952
2015-01-19,location_43,1127
2015-01-19,location_44,4656
2015-01-19,location_45,3984
2015-01-19,location_46,4372
2015-01-19,location_47,4377
2015-01-19,location_48,3392
2015-01-19,location_49,2469
2015-01-19,location_50,3426
2015-01-19,location_51,1830
2015-01-19,location_54,908
2015-01-20,location_1,507
2015-01-20,location_2,2006
2015-01-20,location_3,3466
2015-01-20,location_4,1742
2015-01-20,location_5,1596
2015-01-20,location_6,2202
2015-01-20,location_7,1368
2015-01-20,location_8,2755
2015-01-20,location_9,2427
2015-01-20,location_10,1162
2015-01-20,location_11,2597
2015-01-20,location_12,1211
2015-01-20,location_13,947
2015-01-20,location_14,1333
2015-01-20,location_15,1110
2015-01-20,location_16,1184
2015-01-20,location_17,1419
2015-01-20,location_18,1347
2015-01-20,location_19,1142
2015-01-20,location_23,1099
2015-01-20,location_24,1908
2015-01-20,location_25,816
2015-01-20,location_26,986
2015-01-20,location_27,1515
2015-01-20,location_28,1179
2015-01-20,location_30,616
2015-01-20,location_31,1389
2015-01-20,location_32,801
2015-01-20,location_33,1133
2015-01-20,location_34,2324
2015-01-20,location_35,697
2015-01-20,location_37,1233
2015-01-20,location_38,2294
2015-01-20,location_39,1582
2015-01-20,location_40,924
2015-01-20,location_41,1020
2015-01-20,location_43,1061
2015-01-20,location_44,4732
2015-01-20,location_45,4169
2015-01-20,location_46,4696
2015-01-20,location_47,4877
2015-01-20,location_48,4044
2015-01-20,location_49,2536
2015-01-20,location_50,3195
2015-01-20,location_51,1756
2015-01-20,location_54,1178
2015-01-21,location_1,1770
2015-01-21,location_2,1864
2015-01-21,location_3,2930
2015-01-21,location_4,1458
2015-01-21,location_5,1506
2015-01-21,location_6,1602
2015-01-21,location_7,1649
2015-01-21,location_8,2688
2015-01-21,location_9,2149
2015-01-21,location_10,1200
2015-01-21,location_11,2200
2015-01-21,location_12,1156
2015-01-21,location_13,864
2015-01-21,location_14,1934
2015-01-21,location_15,1439
2015-01-21,location_16,1000
2015-01-21,location_17,1310
2015-01-21,location_18,1306
2015-01-21,location_19,1158
2015-01-21,location_23,1161
2015-01-21,location_24,2391
2015-01-21,location_25,754
2015-01-21,location_26,730
2015-01-21,location_27,1018
2015-01-21,location_28,708
2015-01-21,location_30,692
2015-01-21,location_31,1184
2015-01-21,location_32,667
2015-01-21,location_33,1046
2015-01-21,location_34,2379
2015-01-21,location_35,509
2015-01-21,location_37,1370
2015-01-21,location_38,1414
2015-01-21,location_39,1325
2015-01-21,location_40,1169
2015-01-21,location_41,715
2015-01-21,location_43,1124
2015-01-21,location_44,3508
2015-01-21,location_45,3134
2015-01-21,location_46,3186
2015-01-21,location_47,3335
2015-01-21,location_48,2428
2015-01-21,location_49,1557
2015-01-21,location_50,2227
2015-01-21,location_51,1548
2015-01-21,location_54,788
2015-01-22,location_1,1762
2015-01-22,location_2,1794
2015-01-22,location_3,2721
2015-01-22,location_4,1285
2015-01-22,location_5,1459
2015-01-22,location_6,1584
2015-01-22,location_7,1583
2015-01-22,location_8,2491
2015-01-22,location_9,1949
2015-01-22,location_10,1109
2015-01-22,location_11,2128
2015-01-22,location_12,1145
2015-01-22,location_13,903
2015-01-22,location_14,1558
2015-01-22,location_15,1270
2015-01-22,location_16,933
2015-01-22,location_17,1310
2015-01-22,location_18,1362
2015-01-22,location_19,1017
2015-01-22,location_23,1085
2015-01-22,location_24,2293
2015-01-22,location_25,692
2015-01-22,location_26,690
2015-01-22,location_27,969
2015-01-22,location_28,819
2015-01-22,location_30,752
2015-01-22,location_31,1185
2015-01-22,location_32,668
2015-01-22,location_33,1096
2015-01-22,location_34,2221
2015-01-22,location_35,627
2015-01-22,location_37,1299
2015-01-22,location_38,1317
2015-01-22,location_39,1258
2015-01-22,location_40,1017
2015-01-22,location_41,646
2015-01-22,location_43,1055
2015-01-22,location_44,3349
2015-01-22,location_45,2759
2015-01-22,location_46,2786
2015-01-22,location_47,2973
2015-01-22,location_48,2130
2015-01-22,location_49,1500
2015-01-22,location_50,2182
2015-01-22,location_51,1489
2015-01-22,location_54,768
2015-01-23,location_1,1873
2015-01-23,location_2,1951
2015-01-23,location_3,2911
2015-01-23,location_4,1465
2015-01-23,location_5,1461
2015-01-23,location_6,1740
2015-01-23,location_7,1657
2015-01-23,location_8,2625
2015-01-23,location_9,1741
2015-01-23,location_10,1023
2015-01-23,location_11,2063
2015-01-23,location_12,1142
2015-01-23,location_13,797
2015-01-23,location_14,1490
2015-01-23,location_15,1245
2015-01-23,location_16,908
2015-01-23,location_17,1082
2015-01-23,location_18,1231
2015-01-23,location_19,1078
2015-01-23,location_23,1178
2015-01-23,location_24,2501
2015-01-23,location_25,795
2015-01-23,location_26,681
2015-01-23,location_27,1034
2015-01-23,location_28,674
2015-01-23,location_30,655
2015-01-23,location_31,952
2015-01-23,location_32,565
2015-01-23,location_33,1011
2015-01-23,location_34,2071
2015-01-23,location_35,538
2015-01-23,location_37,1437
2015-01-23,location_38,1495
2015-01-23,location_39,1094
2015-01-23,location_40,886
2015-01-23,location_41,722
2015-01-23,location_43,1019
2015-01-23,location_44,3704
2015-01-23,location_45,2872
2015-01-23,location_46,2901
2015-01-23,location_47,3207
2015-01-23,location_48,2179
2015-01-23,location_49,1606
2015-01-23,location_50,2186
2015-01-23,location_51,1683
2015-01-23,location_54,690
2015-01-24,location_1,1616
