item_id,category_of_item,class,perishable
item_371130,cleaning_utilities,class_3046,0
item_371218,dairy_items,class_2116,1
item_371434,grocery_items,class_1058,0
item_371437,cleaning_utilities,class_3020,0
item_371438,cleaning_utilities,class_3020,0
item_372369,dairy_items,class_2114,1
item_372480,grocery_items,class_1072,0
item_372924,grocery_items,class_1002,0
item_372937,grocery_items,class_1032,0
item_373152,personal_care,class_4114,0
item_374464,grocery_items,class_1016,0
item_376194,grocery_items,class_1016,0
item_376427,eggs,class_2502,1
item_376483,prepared_food,class_2966,1
item_377978,other_bevrages,class_1386,0
item_378330,grocery_items,class_1032,0
item_378332,grocery_items,class_1032,0
item_378685,dairy_items,class_2102,1
item_401817,grocery_items,class_1078,0
item_401911,cleaning_utilities,class_3012,0
item_402136,cleaning_utilities,class_3008,0
item_402174,grocery_items,class_1096,0
item_402175,grocery_items,class_1096,0
item_402299,baked_items / bread_based,class_2718,1
item_404332,grocery_items,class_1044,0
item_404333,grocery_items,class_1044,0
item_404334,grocery_items,class_1044,0
item_404336,grocery_items,class_1045,0
item_404439,grocery_items,class_1034,0
item_404442,grocery_items,class_1034,0
item_404454,grocery_items,class_1034,0
item_405304,grocery_items,class_1032,0
item_406965,cleaning_utilities,class_3015,0
item_407499,eggs,class_2502,1
item_407500,eggs,class_2502,1
item_407533,deli_items,class_2632,1
item_407542,deli_items,class_2644,1
item_407552,deli_items,class_2652,1
item_407608,cleaning_utilities,class_3044,0
item_407769,cleaning_utilities,class_3024,0
item_409738,baked_items / bread_based,class_2708,1
item_409739,baked_items / bread_based,class_2708,1
item_409904,grocery_items,class_1034,0
item_410150,other_utilities,class_7016,0
item_410257,grocery_items,class_1072,0
item_410866,prepared_food,class_2980,1
item_411487,cleaning_utilities,class_3046,0
item_411555,grocery_items,class_1044,0
item_411557,grocery_items,class_1044,0
item_413557,grocery_items,class_1058,0
item_413986,cleaning_utilities,class_3032,0
item_413987,cleaning_utilities,class_3034,0
item_414305,beverages,class_1124,0
item_414353,grocery_items,class_1014,0
item_414354,grocery_items,class_1014,0
item_414421,grocery_items,class_1040,0
item_414425,grocery_items,class_1040,0
item_414426,grocery_items,class_1040,0
item_414454,grocery_items,class_1084,0
item_414455,grocery_items,class_1084,0
item_414478,baked_items / bread_based,class_2718,1
item_414620,grocery_items,class_1016,0
item_414621,grocery_items,class_1016,0
item_414623,grocery_items,class_1016,0
item_414750,grocery_items,class_1072,0
item_414752,grocery_items,class_1072,0
item_414888,cleaning_utilities,class_3090,0
item_416252,grocery_items,class_1067,0
item_417763,cleaning_utilities,class_3026,0
item_417765,cleaning_utilities,class_3026,0
item_417835,grocery_items,class_1028,0
item_418024,deli_items,class_2630,1
item_418025,deli_items,class_2644,1
item_418026,deli_items,class_2644,1
item_418235,beverages,class_1122,0
item_418238,beverages,class_1122,0
item_419729,deli_items,class_2652,1
item_420720,dairy_items,class_2116,1
item_421066,grocery_items,class_1004,0
item_422452,grocery_items,class_1032,0
item_426155,prepared_food,class_2962,1
item_428054,grocery_items,class_1032,0
item_428394,grocery_items,class_1032,0
item_428488,cleaning_utilities,class_3030,0
item_437609,grocery_items,class_1079,0
item_452022,grocery_items,class_1030,0
item_452078,cleaning_utilities,class_3008,0
item_452079,cleaning_utilities,class_3008,0
item_452212,baked_items / bread_based,class_2702,1
item_454326,grocery_items,class_1044,0
item_454413,grocery_items,class_1034,0
item_454414,grocery_items,class_1034,0
item_454416,grocery_items,class_1034,0
item_454426,grocery_items,class_1034,0
item_454589,grocery_items,class_1038,0
item_454593,grocery_items,class_1092,0
item_454596,grocery_items,class_1092,0
item_456870,grocery_items,class_1010,0
item_456875,cleaning_utilities,class_3015,0
item_457424,eggs,class_2502,1
item_457425,eggs,class_2502,1
item_457471,deli_items,class_2644,1
item_457556,grocery_items,class_1004,0
item_457574,frozen_food,class_2226,0
item_457688,cleaning_utilities,class_3038,0
item_457727,dairy_items,class_2112,1
item_457928,vegetables,class_2416,1
item_458029,cleaning_utilities,class_3004,0
item_459762,baked_items / bread_based,class_2708,1
item_459801,grocery_items,class_1034,0
item_459804,grocery_items,class_1086,0
item_460804,grocery_items,class_1048,0
item_461432,other_utilities,class_6810,0
item_461752,grocery_items,class_1035,0
item_462673,grocery_items,class_1048,0
item_463458,cleaning_utilities,class_3020,0
item_463598,cleaning_utilities,class_3024,0
item_463816,cleaning_utilities,class_3018,0
item_463901,cleaning_utilities,class_3034,0
item_463903,cleaning_utilities,class_3034,0
item_464112,grocery_items,class_1092,0
item_464263,grocery_items,class_1014,0
item_464302,grocery_items,class_1026,0
item_464333,grocery_items,class_1040,0
item_464334,grocery_items,class_1040,0
item_464336,grocery_items,class_1040,0
item_464339,grocery_items,class_1040,0
item_464356,grocery_items,class_1040,0
item_464374,beverages,class_1124,0
item_464385,baked_items / bread_based,class_2718,1
item_464536,grocery_items,class_1016,0
item_464906,grocery_items,class_1012,0
item_464907,grocery_items,class_1056,0
item_464940,cleaning_utilities,class_3090,0
item_467808,cleaning_utilities,class_3026,0
item_467887,grocery_items,class_1076,0
item_468057,deli_items,class_2632,1
item_468058,deli_items,class_2644,1
item_468265,beverages,class_1122,0
item_469643,grocery_items,class_1030,0
item_470624,cleaning_utilities,class_3046,0
item_470625,cleaning_utilities,class_3046,0
item_470760,cleaning_utilities,class_3004,0
item_470762,cleaning_utilities,class_3004,0
item_471980,grocery_items,class_1058,0
item_471985,dairy_items,class_2114,1
item_472314,grocery_items,class_1030,0
item_472526,grocery_items,class_1026,0
item_472645,grocery_items,class_1002,0
item_472658,grocery_items,class_1032,0
item_476261,eggs,class_2502,1
item_476707,dairy_items,class_2104,1
item_479200,grocery_items,class_1093,0
item_502067,grocery_items,class_1028,0
item_502182,baked_items / bread_based,class_2716,1
item_502224,grocery_items,class_1062,0
item_502227,grocery_items,class_1096,0
item_502230,grocery_items,class_1096,0
item_502331,baked_items / bread_based,class_2702,1
item_504457,grocery_items,class_1034,0
item_506717,grocery_items,class_1030,0
item_507354,deli_items,class_2690,1
item_507457,frozen_food,class_2218,0
item_507478,eggs,class_2502,1
item_507479,eggs,class_2502,1
item_507641,dairy_items,class_2124,1
item_507867,grocery_items,class_1070,0
item_507870,grocery_items,class_1084,0
item_507927,cleaning_utilities,class_3004,0
item_507958,vegetables,class_2416,1
item_507969,vegetables,class_2416,1
item_508069,cleaning_utilities,class_3026,0
item_508947,dairy_items,class_2112,1
item_509872,grocery_items,class_1086,0
item_509877,other_utilities,class_7034,0
item_510052,grocery_items,class_1072,0
item_510054,grocery_items,class_1072,0
item_510055,grocery_items,class_1072,0
item_510057,grocery_items,class_1072,0
item_511172,baked_items / bread_based,class_2712,1
item_511394,other_utilities,class_6810,0
item_511397,grocery_items,class_1044,0
item_513379,personal_care,class_4126,0
item_513853,cleaning_utilities,class_3034,0
item_513855,cleaning_utilities,class_3034,0
item_514144,grocery_items,class_1060,0
item_514149,grocery_items,class_1066,0
item_514172,beverages,class_1124,0
item_514242,grocery_items,class_1026,0
item_514327,prepared_food,class_2986,1
item_514444,other_utilities,class_7034,0
item_514445,other_utilities,class_7034,0
item_514446,other_utilities,class_7034,0
item_514597,grocery_items,class_1012,0
item_514729,grocery_items,class_1048,0
item_514730,grocery_items,class_1056,0
item_514757,cleaning_utilities,class_3090,0
item_517615,grocery_items,class_1074,0
item_517903,deli_items,class_2632,1
item_517904,deli_items,class_2636,1
item_517905,deli_items,class_2636,1
item_517906,deli_items,class_2644,1
item_517909,deli_items,class_2690,1
item_518091,beverages,class_1122,0
item_518094,beverages,class_1122,0
item_519560,deli_items,class_2662,1
item_519718,deli_items,class_2636,1
item_521818,grocery_items,class_1058,0
item_522383,grocery_items,class_1002,0
item_522721,cleaning_utilities,class_3016,0
item_522941,grocery_items,class_1002,0
item_523054,other_utilities,class_7034,0
item_525887,grocery_items,class_1032,0
item_525902,eggs,class_2502,1
item_527757,grocery_items,class_1032,0
item_546043,cleaning_utilities,class_3005,0
item_551893,cleaning_utilities,class_3008,0
item_552050,baked_items / bread_based,class_2716,1
item_554047,grocery_items,class_1044,0
item_554048,grocery_items,class_1044,0
item_554049,grocery_items,class_1045,0
item_554143,grocery_items,class_1034,0
item_554144,grocery_items,class_1034,0
item_554145,grocery_items,class_1034,0
item_554152,grocery_items,class_1034,0
item_556698,beverages,class_1120,0
item_557241,frozen_food,class_2226,0
item_557256,eggs,class_2502,1
item_557257,eggs,class_2502,1
item_557285,deli_items,class_2630,1
item_557286,deli_items,class_2632,1
item_557289,deli_items,class_2632,1
item_557305,deli_items,class_2652,1
item_557408,dairy_items,class_2142,1
item_557420,prepared_food,class_2960,1
item_557810,grocery_items,class_1084,0
item_558730,dairy_items,class_2112,1
item_559044,baked_items / bread_based,class_2716,1
item_559493,baked_items / bread_based,class_2702,1
item_559494,baked_items / bread_based,class_2708,1
item_559680,grocery_items,class_1034,0
item_559682,grocery_items,class_1086,0
item_559870,grocery_items,class_1072,0
item_559872,grocery_items,class_1072,0
item_559873,grocery_items,class_1072,0
item_562568,grocery_items,class_1096,0
item_563654,cleaning_utilities,class_3034,0
item_563966,beverages,class_1124,0
item_564110,grocery_items,class_1066,0
item_564272,grocery_items,class_1016,0
item_564274,grocery_items,class_1016,0
item_564287,baked_items / bread_based,class_2718,1
item_564288,baked_items / bread_based,class_2718,1
item_564533,grocery_items,class_1012,0
item_564534,grocery_items,class_1012,0
item_567517,cleaning_utilities,class_3026,0
item_567579,grocery_items,class_1028,0
item_567588,grocery_items,class_1062,0
item_567623,grocery_items,class_1040,0
item_567644,grocery_items,class_1042,0
item_567750,grocery_items,class_1056,0
item_567778,deli_items,class_2630,1
item_567779,deli_items,class_2632,1
item_567781,deli_items,class_2636,1
item_567787,grocery_items,class_1078,0
item_568133,beverages,class_1122,0
item_570869,grocery_items,class_1034,0
item_570870,grocery_items,class_1086,0
item_570917,grocery_items,class_1054,0
item_570922,cleaning_utilities,class_3020,0
item_572838,cleaning_utilities,class_3022,0
item_573832,grocery_items,class_1016,0
item_574898,cleaning_utilities,class_3018,0
item_575630,grocery_items,class_1035,0
item_575675,grocery_items,class_1016,0
item_575863,grocery_items,class_1032,0
item_575875,eggs,class_2502,1
item_575876,eggs,class_2502,1
item_577740,grocery_items,class_1032,0
item_577741,grocery_items,class_1032,0
item_577743,grocery_items,class_1032,0
item_577745,grocery_items,class_1032,0
item_578097,dairy_items,class_2102,1
item_578467,grocery_items,class_1062,0
item_579759,grocery_items,class_1014,0
item_580929,grocery_items,class_1004,0
item_581078,cleaning_utilities,class_3038,0
item_581742,grocery_items,class_1072,0
item_582863,meat_based_items,class_2302,1
item_582864,meat_based_items,class_2302,1
item_582865,meat_based_items,class_2302,1
item_583795,meat_based_items,class_2302,1
item_583797,meat_based_items,class_2302,1
item_583799,meat_based_items,class_2302,1
item_583868,meat_based_items,class_2302,1
item_583925,meat_based_items,class_2302,1
item_583927,meat_based_items,class_2302,1
item_583931,meat_based_items,class_2302,1
item_583968,meat_based_items,class_2302,1
item_583973,meat_based_items,class_2302,1
item_583975,meat_based_items,class_2302,1
item_583977,meat_based_items,class_2302,1
item_583978,meat_based_items,class_2302,1
item_583985,meat_based_items,class_2302,1
item_584026,meat_based_items,class_2302,1
item_584027,meat_based_items,class_2302,1
item_584028,meat_based_items,class_2302,1
item_584030,meat_based_items,class_2302,1
item_584032,meat_based_items,class_2302,1
item_584076,meat_based_items,class_2302,1
item_584077,meat_based_items,class_2302,1
item_584078,meat_based_items,class_2302,1
item_584099,meat_based_items,class_2302,1
item_584101,meat_based_items,class_2302,1
item_584103,meat_based_items,class_2302,1
item_584123,meat_based_items,class_2302,1
item_584125,meat_based_items,class_2302,1
item_584126,meat_based_items,class_2302,1
item_584129,meat_based_items,class_2302,1
item_584188,meat_based_items,class_2302,1
item_584246,meat_based_items,class_2302,1
item_586423,grocery_items,class_1056,0
item_586823,cleaning_utilities,class_3046,0
item_586824,cleaning_utilities,class_3090,0
item_586911,personal_care,class_4114,0
item_586967,personal_care,class_4122,0
item_586969,grocery_items,class_1004,0
item_587069,grocery_items,class_1004,0
item_587104,meat_based_items,class_2302,1
item_587156,cleaning_utilities,class_3026,0
item_587157,meat_based_items,class_2302,1
item_587186,cleaning_utilities,class_3026,0
item_589403,processed_food,class_2850,1
item_592801,dairy_items,class_2114,1
item_592942,grocery_items,class_1030,0
